node,t,k,value
dena21,1,1,642.0
dena21,2,1,619.8
dena21,3,1,602.5
dena21,4,1,596.6
dena21,5,1,587.0
dena21,6,1,553.9
dena21,7,1,556.9
dena21,8,1,563.2
dena21,9,1,592.8
dena21,10,1,629.8
dena21,11,1,678.2
dena21,12,1,694.3
dena21,13,1,697.6
dena21,14,1,684.9
dena21,15,1,684.4
dena21,16,1,721.5
dena21,17,1,793.5
dena21,18,1,815.0
dena21,19,1,805.3
dena21,20,1,770.5
dena21,21,1,765.0
dena21,22,1,771.5
dena21,23,1,719.1
dena21,24,1,671.9
dena21,1,2,634.7
dena21,2,2,618.7
dena21,3,2,617.1
dena21,4,2,622.1
dena21,5,2,653.5
dena21,6,2,731.4
dena21,7,2,830.2
dena21,8,2,895.2
dena21,9,2,929.2
dena21,10,2,958.3
dena21,11,2,992.1
dena21,12,2,995.9
dena21,13,2,985.8
dena21,14,2,975.9
dena21,15,2,966.8
dena21,16,2,991.9
dena21,17,2,1030.7
dena21,18,2,1024.8
dena21,19,2,988.4
dena21,20,2,929.9
dena21,21,2,900.9
dena21,22,2,882.4
dena21,23,2,808.4
dena21,24,2,744.6
dena21,1,3,712.9
dena21,2,3,695.7
dena21,3,3,696.8
dena21,4,3,710.3
dena21,5,3,738.0
dena21,6,3,797.7
dena21,7,3,888.0
dena21,8,3,941.0
dena21,9,3,960.8
dena21,10,3,982.1
dena21,11,3,1005.3
dena21,12,3,1001.2
dena21,13,3,991.0
dena21,14,3,977.7
dena21,15,3,967.5
dena21,16,3,997.1
dena21,17,3,1048.8
dena21,18,3,1042.0
dena21,19,3,1012.2
dena21,20,3,959.5
dena21,21,3,926.7
dena21,22,3,910.0
dena21,23,3,836.5
dena21,24,3,764.5
dena21,1,4,730.0
dena21,2,4,715.3
dena21,3,4,719.9
dena21,4,4,732.5
dena21,5,4,760.3
dena21,6,4,827.4
dena21,7,4,922.5
dena21,8,4,981.8
dena21,9,4,1003.1
dena21,10,4,1024.3
dena21,11,4,1052.3
dena21,12,4,1046.3
dena21,13,4,1030.4
dena21,14,4,1010.0
dena21,15,4,1006.0
dena21,16,4,1025.8
dena21,17,4,1071.7
dena21,18,4,1069.3
dena21,19,4,1036.2
dena21,20,4,979.8
dena21,21,4,946.8
dena21,22,4,921.2
dena21,23,4,849.0
dena21,24,4,790.1
dena21,1,5,752.0
