t,k,node,marginal
1,1,dena21,86.564
1,2,dena21,86.564
1,3,dena21,86.564
1,4,dena21,86.564
1,5,dena21,86.564
1,6,dena21,86.564
1,7,dena21,86.564
1,8,dena21,86.564
1,9,dena21,86.564
1,10,dena21,86.564
1,11,dena21,86.564
1,12,dena21,86.564
1,13,dena21,86.564
1,14,dena21,86.564
1,15,dena21,86.564
1,16,dena21,86.564
1,17,dena21,86.564
1,18,dena21,86.564
1,19,dena21,86.564
1,20,dena21,86.564
1,21,dena21,86.564
1,22,dena21,86.564
1,23,dena21,86.564
1,24,dena21,86.564
1,25,dena21,86.564
1,26,dena21,86.564
1,27,dena21,86.564
1,28,dena21,86.564
1,29,dena21,86.564
1,30,dena21,86.564
1,31,dena21,86.564
1,32,dena21,86.564
1,33,dena21,86.564
1,34,dena21,86.564
1,35,dena21,86.564
1,36,dena21,86.564
1,37,dena21,86.564
1,38,dena21,86.564
1,39,dena21,86.564
1,40,dena21,86.564
1,41,dena21,86.564
1,42,dena21,86.564
1,43,dena21,86.564
1,44,dena21,86.564
1,45,dena21,86.564
1,46,dena21,86.564
1,47,dena21,86.564
1,48,dena21,86.564
1,49,dena21,86.564
1,50,dena21,86.564
1,51,dena21,86.564
1,52,dena21,86.564
1,53,dena21,86.564
1,54,dena21,86.564
1,55,dena21,86.564
1,56,dena21,86.564
1,57,dena21,86.564
1,58,dena21,86.564
1,59,dena21,86.564
1,60,dena21,86.564
1,61,dena21,86.564
1,62,dena21,86.564
1,63,dena21,86.564
1,64,dena21,86.564
1,65,dena21,86.564
1,66,dena21,86.564
1,67,dena21,86.564
1,68,dena21,86.564
1,69,dena21,86.564
1,70,dena21,86.564
1,71,dena21,86.564
1,72,dena21,86.564
1,73,dena21,86.564
1,74,dena21,86.564
1,75,dena21,86.564
1,76,dena21,86.564
1,77,dena21,86.564
1,78,dena21,86.564
1,79,dena21,86.564
1,80,dena21,86.564
1,81,dena21,86.564
1,82,dena21,86.564
1,83,dena21,86.564
1,84,dena21,86.564
1,85,dena21,86.564
1,86,dena21,86.564
1,87,dena21,86.564
1,88,dena21,86.564
1,89,dena21,86.564
1,90,dena21,86.564
1,91,dena21,86.564
1,92,dena21,86.564
1,93,dena21,86.564
1,94,dena21,86.564
1,95,dena21,86.564
1,96,dena21,86.564
1,97,dena21,86.564
1,98,dena21,86.564
1,99,dena21,86.564
1,100,dena21,86.564
1,101,dena21,86.564
1,102,dena21,86.564
1,103,dena21,86.564
1,104,dena21,86.564
1,105,dena21,86.564
1,106,dena21,86.564
1,107,dena21,86.564
1,108,dena21,86.564
1,109,dena21,86.564
1,110,dena21,86.564
1,111,dena21,86.564
1,112,dena21,86.564
1,113,dena21,86.564
1,114,dena21,86.564
1,115,dena21,86.564
1,116,dena21,86.564
1,117,dena21,86.564
1,118,dena21,86.564
1,119,dena21,86.564
1,120,dena21,86.564
1,121,dena21,86.564
1,122,dena21,86.564
1,123,dena21,86.564
1,124,dena21,86.564
1,125,dena21,86.564
1,126,dena21,86.564
1,127,dena21,86.564
1,128,dena21,86.564
1,129,dena21,86.564
1,130,dena21,86.564
1,131,dena21,86.564
1,132,dena21,86.564
1,133,dena21,86.564
1,134,dena21,86.564
1,135,dena21,86.564
1,136,dena21,86.564
1,137,dena21,86.564
1,138,dena21,86.564
1,139,dena21,86.564
1,140,dena21,86.564
1,141,dena21,86.564
1,142,dena21,86.564
1,143,dena21,86.564
1,144,dena21,86.564
1,145,dena21,86.564
1,146,dena21,86.564
1,147,dena21,86.564
1,148,dena21,86.564
1,149,dena21,86.564
1,150,dena21,86.564
1,151,dena21,86.564
1,152,dena21,86.564
1,153,dena21,86.564
1,154,dena21,86.564
1,155,dena21,86.564
1,156,dena21,86.564
1,157,dena21,86.564
1,158,dena21,86.564
1,159,dena21,86.564
1,160,dena21,86.564
1,161,dena21,86.564
1,162,dena21,86.564
1,163,dena21,86.564
1,164,dena21,86.564
1,165,dena21,86.564
1,166,dena21,86.564
1,167,dena21,86.564
1,168,dena21,86.564
1,169,dena21,86.564
1,170,dena21,86.564
1,171,dena21,86.564
1,172,dena21,86.564
1,173,dena21,86.564
1,174,dena21,86.564
1,175,dena21,86.564
1,176,dena21,86.564
1,177,dena21,86.564
1,178,dena21,86.564
1,179,dena21,86.564
1,180,dena21,86.564
1,181,dena21,86.564
1,182,dena21,86.564
1,183,dena21,86.564
1,184,dena21,86.564
1,185,dena21,86.564
1,186,dena21,86.564
1,187,dena21,86.564
1,188,dena21,86.564
1,189,dena21,86.564
1,190,dena21,86.564
1,191,dena21,86.564
1,192,dena21,86.564
1,193,dena21,86.564
1,194,dena21,86.564
1,195,dena21,86.564
1,196,dena21,86.564
1,197,dena21,86.564
1,198,dena21,86.564
1,199,dena21,86.564
1,200,dena21,86.564
1,201,dena21,86.564
1,202,dena21,86.564
1,203,dena21,86.564
1,204,dena21,86.564
1,205,dena21,86.564
1,206,dena21,86.564
1,207,dena21,86.564
1,208,dena21,86.564
1,209,dena21,86.564
1,210,dena21,86.564
1,211,dena21,86.564
1,212,dena21,86.564
1,213,dena21,86.564
1,214,dena21,86.564
1,215,dena21,86.564
1,216,dena21,86.564
1,217,dena21,86.564
1,218,dena21,86.564
1,219,dena21,86.564
1,220,dena21,86.564
1,221,dena21,86.564
1,222,dena21,86.564
1,223,dena21,86.564
1,224,dena21,86.564
1,225,dena21,86.564
1,226,dena21,86.564
1,227,dena21,86.564
1,228,dena21,86.564
1,229,dena21,86.564
1,230,dena21,86.564
1,231,dena21,86.564
1,232,dena21,86.564
1,233,dena21,86.564
1,234,dena21,86.564
1,235,dena21,86.564
1,236,dena21,86.564
1,237,dena21,86.564
1,238,dena21,86.564
1,239,dena21,86.564
1,240,dena21,86.564
1,241,dena21,86.564
1,242,dena21,86.564
1,243,dena21,86.564
1,244,dena21,86.564
1,245,dena21,86.564
1,246,dena21,86.564
1,247,dena21,86.564
1,248,dena21,86.564
1,249,dena21,86.564
1,250,dena21,86.564
1,251,dena21,86.564
1,252,dena21,86.564
1,253,dena21,86.564
1,254,dena21,86.564
1,255,dena21,86.564
1,256,dena21,86.564
1,257,dena21,86.564
1,258,dena21,86.564
1,259,dena21,86.564
1,260,dena21,86.564
1,261,dena21,86.564
1,262,dena21,86.564
